RA,DEC,u,g,r,i,z,redshift,Filename
253.059751323181,21.7172300428857,20.80029,18.77284,17.62776,17.13797,16.78862,0.1543328,data/sdss\SDSS_galaxy147.jpg
42.4647067610128,-0.133153535724277,20.09974,18.1837,16.97072,16.49137,16.11314,0.1737678,data/sdss\SDSS_galaxy148.jpg
355.628880966406,-0.544677335203602,18.412,17.14556,16.47114,16.08162,15.81133,0.07869392,data/sdss\SDSS_galaxy149.jpg
255.079169845997,35.2632014554769,18.66697,17.30684,16.5953,16.16998,15.91278,0.08416571,data/sdss\SDSS_galaxy150.jpg
192.070158828906,36.6696711639462,19.02391,17.43088,16.66526,16.28319,16.0094,0.1010921,data/sdss\SDSS_galaxy151.jpg
196.357088793915,18.6835934733323,20.19715,18.58121,17.56983,17.07428,16.66816,0.1383467,data/sdss\SDSS_galaxy152.jpg
243.845486668298,13.5842407828799,22.16096,19.03321,17.55049,16.94315,16.55758,0.1999449,data/sdss\SDSS_galaxy153.jpg
247.95607273336,24.5864610408351,19.4948,18.22596,17.45159,17.01645,16.7393,0.1280867,data/sdss\SDSS_galaxy154.jpg
166.290255212643,35.9222911264216,20.4362,18.61947,17.68435,17.28771,16.9667,0.09485272,data/sdss\SDSS_galaxy155.jpg
199.642367328127,17.5029550385073,18.32696,17.18807,16.62251,16.31866,16.06162,0.02362033,data/sdss\SDSS_galaxy156.jpg
126.884932073541,30.9645761341641,21.36225,19.44908,17.80516,17.19067,16.74921,0.294365,data/sdss\SDSS_galaxy157.jpg
47.679354004244,-8.4634647183564,20.09336,18.06097,17.04684,16.59392,16.25535,0.1070593,data/sdss\SDSS_galaxy158.jpg
143.761468564371,54.0858241002328,18.5637,17.49568,16.90441,16.48601,16.3536,0.1293565,data/sdss\SDSS_galaxy159.jpg
112.475165193695,41.9096422306805,21.33999,19.05481,17.8428,17.28249,16.904,0.1987209,data/sdss\SDSS_galaxy160.jpg
178.059761760979,42.9911357531643,20.8151,18.75609,17.67765,17.21431,16.85058,0.1219747,data/sdss\SDSS_galaxy161.jpg
115.130541911885,31.1565619729315,20.22452,18.3098,17.13262,16.64375,16.25603,0.1421485,data/sdss\SDSS_galaxy162.jpg
212.741920738767,47.4293360164789,20.29677,18.13526,16.99307,16.54374,16.17593,0.1437827,data/sdss\SDSS_galaxy163.jpg
217.388987894466,-0.448847853343547,19.26034,17.87331,16.97536,16.51113,16.1554,0.1371386,data/sdss\SDSS_galaxy164.jpg
182.620357101483,28.9945568702921,19.50874,18.23257,17.69681,17.39152,17.15442,0.0770437,data/sdss\SDSS_galaxy165.jpg
5.60749728336066,0.659936970470969,20.74535,19.13709,17.67969,17.14027,16.7793,0.2318322,data/sdss\SDSS_galaxy166.jpg
162.853933239744,39.9678309386016,20.29117,18.43385,17.40998,16.95769,16.6093,0.1190662,data/sdss\SDSS_galaxy167.jpg
7.06552848622624,13.7896208066129,20.55643,18.45937,17.31355,16.83187,16.42069,0.1395294,data/sdss\SDSS_galaxy168.jpg
202.227137866809,19.2601434467491,20.09251,18.23632,17.34823,16.92947,16.62394,0.08704483,data/sdss\SDSS_galaxy169.jpg
359.551043133441,-9.9945318085141,20.42709,18.63356,17.56599,17.12901,16.71129,0.1437766,data/sdss\SDSS_galaxy170.jpg
133.196948241707,42.2176054748965,20.58545,18.6741,17.64428,17.24511,16.92129,0.1389265,data/sdss\SDSS_galaxy171.jpg
189.765378323504,10.9590336137645,19.0817,17.14327,16.239,15.81503,15.48411,0.0671357,data/sdss\SDSS_galaxy172.jpg
190.153063673087,18.5228726556844,18.74062,16.80736,15.85555,15.44613,15.1001,0.08868489,data/sdss\SDSS_galaxy173.jpg
250.418984646808,46.1416331189428,20.57407,18.62894,17.59402,17.15652,16.81095,0.1534047,data/sdss\SDSS_galaxy174.jpg
179.247017064697,39.0046951375485,20.86326,18.61145,17.43426,16.94578,16.586,0.1436582,data/sdss\SDSS_galaxy175.jpg
172.010847804528,49.8930243840449,20.68034,18.86302,17.66416,17.17413,16.84068,0.1607574,data/sdss\SDSS_galaxy176.jpg
217.794397773066,25.5094677448048,19.54493,17.81164,16.7917,16.29414,15.87993,0.09480087,data/sdss\SDSS_galaxy177.jpg
158.551145049746,57.0141476061586,19.78746,18.14003,17.35877,17.0011,16.6856,0.04726528,data/sdss\SDSS_galaxy178.jpg
249.610379846958,33.4362133698634,19.8623,18.64881,17.82332,17.40427,17.07346,0.1586307,data/sdss\SDSS_galaxy179.jpg
253.968741094354,35.5582420854987,20.10508,18.46076,17.46549,17.0288,16.71176,0.1511106,data/sdss\SDSS_galaxy180.jpg
110.94352113539,43.0367578864684,20.51422,18.60307,17.61434,17.12729,16.74045,0.1068631,data/sdss\SDSS_galaxy181.jpg
127.55337556719,15.722607915446,20.24847,18.33862,17.3294,16.90105,16.52923,0.1268761,data/sdss\SDSS_galaxy182.jpg
37.8988920920933,0.34754687784934,20.37382,18.38569,17.22821,16.78592,16.47054,0.1861004,data/sdss\SDSS_galaxy183.jpg
175.735003791809,12.0250868261266,20.56437,19.01447,17.8386,17.32642,16.94139,0.1697653,data/sdss\SDSS_galaxy184.jpg
17.5378342597076,14.1025031503952,19.27417,17.37642,16.46671,16.03596,15.68909,0.05799934,data/sdss\SDSS_galaxy185.jpg
210.348548841787,0.961388249096007,18.46699,16.81677,16.00724,15.64682,15.34733,0.0333208,data/sdss\SDSS_galaxy186.jpg
203.218067229625,38.9957635523645,20.43653,18.54909,17.29756,16.80827,16.4651,0.1865561,data/sdss\SDSS_galaxy187.jpg
136.793691194498,36.5595705603505,20.48679,18.69638,17.62267,17.11348,16.68893,0.1023142,data/sdss\SDSS_galaxy188.jpg
17.2482905146032,15.3391894819201,17.65719,15.74634,14.85375,14.41562,14.09391,0.04165154,data/sdss\SDSS_galaxy189.jpg
