RA,DEC,u,g,r,i,z,redshift,Filename
353.710588017094,-1.20488903049753,16.88513,15.60274,14.98514,14.57738,14.32736,0.05739004,data/sdss\SDSS_galaxy112.jpg
162.395509840365,25.8445333249611,18.97086,17.8157,17.41859,17.13276,17.04639,0.0637246,data/sdss\SDSS_galaxy113.jpg
228.85167042325,19.8106488358761,18.61247,17.48775,16.8679,16.52136,16.2602,0.1108824,data/sdss\SDSS_galaxy114.jpg
218.852927697949,6.27583594142494,18.55436,17.23027,16.54103,16.19699,15.90055,0.11312,data/sdss\SDSS_galaxy115.jpg
145.498954608223,22.3726909087506,18.43284,17.40265,16.92064,16.57151,16.38373,0.08122914,data/sdss\SDSS_galaxy116.jpg
180.578012318382,2.19808222379791,19.51069,18.05003,16.97556,16.50763,16.19465,0.1836066,data/sdss\SDSS_galaxy117.jpg
329.256631342206,-7.1104624229775,18.27846,17.12498,16.56316,16.25522,16.14863,0.06464116,data/sdss\SDSS_galaxy118.jpg
190.283815869324,5.94834432806655,18.15926,17.3897,17.06983,16.75664,16.69707,0.130297,data/sdss\SDSS_galaxy119.jpg
219.607089668031,20.7526250016829,17.79631,16.4507,15.90203,15.62043,15.35539,0.0443742,data/sdss\SDSS_galaxy120.jpg
145.932028458007,17.436448607172,19.66348,18.22865,17.52367,17.092,16.81457,0.1222944,data/sdss\SDSS_galaxy121.jpg
233.83887770748,24.825553287631,18.84192,17.47204,16.76753,16.36491,16.07447,0.09170694,data/sdss\SDSS_galaxy122.jpg
174.460407747702,22.0125314582602,18.07026,16.43271,15.65201,15.25379,14.99505,0.0301612,data/sdss\SDSS_galaxy123.jpg
125.432178799432,34.7735149588546,18.56665,16.98465,16.12719,15.66965,15.38927,0.08200607,data/sdss\SDSS_galaxy124.jpg
162.004566158716,23.1114424524656,17.80143,16.48948,15.86995,15.52533,15.26858,0.06612949,data/sdss\SDSS_galaxy125.jpg
178.750517444818,9.47134731881102,17.89257,16.71762,16.15601,15.7844,15.54215,0.100234,data/sdss\SDSS_galaxy126.jpg
37.1073255193353,-0.976682059727628,19.32542,17.68802,16.85754,16.41713,16.13605,0.1524306,data/sdss\SDSS_galaxy127.jpg
133.03432562539,16.0708920589721,18.03251,16.80192,16.26626,15.94583,15.68071,0.02857149,data/sdss\SDSS_galaxy128.jpg
186.348807701347,8.45572681480252,18.63837,17.17697,16.44442,16.07265,15.76897,0.07515721,data/sdss\SDSS_galaxy129.jpg
191.566568203712,11.458407555318,17.78075,16.25617,15.47679,15.09742,14.81035,0.0742053,data/sdss\SDSS_galaxy130.jpg
312.243512690864,-0.0422833732138483,18.74855,17.449,16.87356,16.50096,16.26681,0.05449904,data/sdss\SDSS_galaxy131.jpg
126.865785400616,36.8237325387082,18.6984,16.71428,15.80427,15.3688,15.02802,0.08209316,data/sdss\SDSS_galaxy133.jpg
142.086955628005,48.4131419512838,19.92955,18.58801,17.77092,17.34019,17.0276,0.1139635,data/sdss\SDSS_galaxy134.jpg
112.773730743093,44.3274464524989,17.89119,16.37695,15.68003,15.29661,14.99705,0.06086057,data/sdss\SDSS_galaxy135.jpg
331.971857195916,-8.52590516179876,19.12917,17.91008,17.37802,17.02462,16.79636,0.0814466,data/sdss\SDSS_galaxy136.jpg
165.171171808457,15.6729471326131,19.07642,17.90762,17.38957,17.12657,16.95875,0.08827339,data/sdss\SDSS_galaxy137.jpg
222.157750283917,6.81459741370704,16.42959,15.37236,14.86215,14.56079,14.34657,0.03463231,data/sdss\SDSS_galaxy138.jpg
182.5354598364,39.0524065028586,16.839,15.1944,14.56787,14.19451,13.93434,0.03706755,data/sdss\SDSS_galaxy139.jpg
208.954589497274,3.517274704658,19.33766,17.94395,17.11559,16.68683,16.40965,0.1358264,data/sdss\SDSS_galaxy140.jpg
310.696295018473,-6.1122883279004,18.13857,16.35597,15.50194,15.10539,14.75327,0.06949199,data/sdss\SDSS_galaxy141.jpg
150.894352202832,36.3174368950622,17.55743,16.14414,15.62197,15.30884,15.10367,0.04477047,data/sdss\SDSS_galaxy142.jpg
157.543521894933,55.0029394154789,18.93104,17.66523,16.96628,16.57987,16.38129,0.1398654,data/sdss\SDSS_galaxy143.jpg
153.540331288731,44.9840509107138,18.9725,17.57807,16.83427,16.43564,16.1644,0.1123184,data/sdss\SDSS_galaxy144.jpg
226.397006985762,48.6050092946096,19.71295,17.88162,17.11312,16.66597,16.40101,0.07469867,data/sdss\SDSS_galaxy145.jpg
188.117212325977,34.9948087029028,19.69261,18.24198,17.49262,17.09216,16.85384,0.1508241,data/sdss\SDSS_galaxy146.jpg
223.148237639505,17.4514878199133,18.12875,16.26281,15.46786,15.06701,14.75357,0.0574665,data/sdss\SDSS_galaxy147.jpg
168.115722368301,2.81135635015084,19.66044,18.36505,17.58434,17.15304,16.84156,0.1347455,data/sdss\SDSS_galaxy148.jpg
115.341259668097,44.010463511311,17.1888,15.78179,15.11339,14.73745,14.47158,0.04531359,data/sdss\SDSS_galaxy149.jpg
198.608859315598,30.2504911730872,17.09875,16.01625,15.56472,15.33364,15.17387,0.02533222,data/sdss\SDSS_galaxy150.jpg
226.888260924692,4.85427733098974,17.60251,16.47514,15.9629,15.67279,15.45013,0.03555428,data/sdss\SDSS_galaxy151.jpg
161.928227036536,50.8266031581169,18.15458,16.92026,16.2792,15.92327,15.68201,0.09801432,data/sdss\SDSS_galaxy152.jpg
251.194632521709,22.6876748745638,19.38764,17.52359,16.52949,16.08257,15.70325,0.1221517,data/sdss\SDSS_galaxy153.jpg
147.39593914452,21.4904007255086,18.98755,17.67698,17.01081,16.60523,16.4103,0.1367997,data/sdss\SDSS_galaxy154.jpg
203.419223076136,-2.7422712002535,16.80155,15.08056,14.31419,13.92038,13.63561,0.02176297,data/sdss\SDSS_galaxy155.jpg
237.915716535213,22.7575308390882,19.96254,18.61996,17.87089,17.50267,17.23101,0.1656291,data/sdss\SDSS_galaxy156.jpg
198.010167508589,52.9667196573091,18.71232,17.43459,16.75288,16.37117,16.13128,0.09199672,data/sdss\SDSS_galaxy157.jpg
186.858906960577,57.8372963508484,19.03916,18.08496,17.63936,17.32412,17.15532,0.1034467,data/sdss\SDSS_galaxy158.jpg
22.4189222706276,13.2132052640255,18.95465,17.72465,17.0569,16.69638,16.45025,0.07253031,data/sdss\SDSS_galaxy159.jpg
208.343165137809,66.3829365191736,19.39037,17.9846,17.2692,16.89485,16.6064,0.1071718,data/sdss\SDSS_galaxy160.jpg
144.742391402082,55.8701316313415,18.22277,16.88968,16.28427,15.95061,15.78241,0.06397735,data/sdss\SDSS_galaxy161.jpg
191.433557859825,12.005577424099,19.03611,17.91332,17.37241,17.07512,16.86506,0.1211041,data/sdss\SDSS_galaxy162.jpg
241.703513373737,51.8863912047648,17.87856,16.58674,16.00878,15.6146,15.45714,0.06972837,data/sdss\SDSS_galaxy163.jpg
137.914304991954,4.94730140131541,19.50521,18.11468,17.30941,16.89451,16.5761,0.1248417,data/sdss\SDSS_galaxy164.jpg
211.712597004424,9.26843214833199,18.55513,17.43675,16.69462,16.28512,16.04597,0.1569208,data/sdss\SDSS_galaxy165.jpg
221.407043459156,59.1634421547342,19.13412,17.8899,17.23477,16.81047,16.59878,0.1396688,data/sdss\SDSS_galaxy166.jpg
257.944667625258,32.6324446349006,18.91413,17.67443,17.05222,16.67987,16.46476,0.1092061,data/sdss\SDSS_galaxy167.jpg
212.935511678827,-2.56685833455116,19.65795,18.29159,17.64627,17.25452,16.96104,0.1386933,data/sdss\SDSS_galaxy168.jpg
247.586456241298,22.5775769383891,17.81496,16.33902,15.65988,15.30547,15.01789,0.03627302,data/sdss\SDSS_galaxy169.jpg
212.673062796155,6.07336334218988,18.59087,17.29744,16.6627,16.30761,16.03671,0.1062756,data/sdss\SDSS_galaxy170.jpg
170.966545666603,63.8227793932605,19.85296,18.4941,17.72738,17.33422,17.0447,0.190156,data/sdss\SDSS_galaxy171.jpg
37.6998152406137,-9.2620457169427,18.98632,17.79554,17.18451,16.84901,16.60447,0.1110718,data/sdss\SDSS_galaxy172.jpg
123.994061618846,43.2731851879516,20.08864,18.41648,17.4093,16.89005,16.55126,0.210368,data/sdss\SDSS_galaxy173.jpg
2.57046108664758,14.3968465080967,19.68458,17.96441,16.97661,16.51246,16.13461,0.1114888,data/sdss\SDSS_galaxy174.jpg
133.96243339696,6.05876633278246,18.51906,17.19182,16.53971,16.12968,15.84342,0.09325965,data/sdss\SDSS_galaxy175.jpg
199.482982821325,65.5821524914358,18.82959,17.81184,17.47513,17.1749,17.08062,0.06601903,data/sdss\SDSS_galaxy176.jpg
237.636875997345,29.6005125472778,17.62069,16.39131,15.7884,15.40204,15.16056,0.06222904,data/sdss\SDSS_galaxy177.jpg
181.053439171319,42.4996406810583,19.42331,18.34254,17.78957,17.51395,17.31869,0.05431004,data/sdss\SDSS_galaxy178.jpg
202.599137609634,-2.90435469529343,15.85896,14.57383,14.00659,13.69872,13.4765,0.02124562,data/sdss\SDSS_galaxy179.jpg
181.604765378398,52.74753093406,19.50257,18.23417,17.49799,17.09908,16.90636,0.1767991,data/sdss\SDSS_galaxy180.jpg
217.041795566638,26.9357878650963,16.74243,15.57646,15.12282,14.90941,14.80848,0.01473831,data/sdss\SDSS_galaxy181.jpg
158.201258568005,56.5957301481597,17.68334,16.09192,15.37692,14.97985,14.70663,0.04681461,data/sdss\SDSS_galaxy182.jpg
218.095043788102,14.4832392927989,17.51118,16.36765,15.76547,15.43096,15.17061,0.04571676,data/sdss\SDSS_galaxy183.jpg
199.136624281892,58.604927490069,18.53092,17.23919,16.75802,16.46837,16.36219,0.05246746,data/sdss\SDSS_galaxy184.jpg
230.244857005198,29.6073067184932,19.48911,18.38053,17.71755,17.32463,17.12083,0.126486,data/sdss\SDSS_galaxy185.jpg
138.368721457751,19.8186536335907,19.35909,17.50433,16.53967,16.06456,15.67135,0.07992954,data/sdss\SDSS_galaxy186.jpg
205.991401728217,15.4521846714567,18.46069,17.36592,16.8549,16.52594,16.34165,0.06042914,data/sdss\SDSS_galaxy187.jpg
179.064008459451,15.0795374783173,19.16354,18.15567,17.527,17.13299,16.95002,0.2317952,data/sdss\SDSS_galaxy188.jpg
151.298870920279,3.35416659005635,17.86596,16.5197,15.95576,15.63182,15.40391,0.04493951,data/sdss\SDSS_galaxy189.jpg
219.399241396385,6.93635580482749,18.82154,17.39812,16.55766,16.13835,15.801,0.1137501,data/sdss\SDSS_galaxy190.jpg
163.979058260196,27.7200766961975,18.97003,17.41544,16.61214,16.16054,15.84519,0.1086575,data/sdss\SDSS_galaxy191.jpg
160.134238148404,23.5235667435219,17.93645,16.7025,16.10906,15.77577,15.56985,0.07949189,data/sdss\SDSS_galaxy192.jpg
131.632387084138,27.7930527899112,18.42163,16.8537,15.98892,15.54971,15.22913,0.1011693,data/sdss\SDSS_galaxy193.jpg
217.372114034224,8.57545945771835,19.36784,18.02397,17.50092,17.20566,17.07033,0.0807732,data/sdss\SDSS_galaxy194.jpg
139.6274999479,17.6377300838936,18.20732,17.13388,16.59779,16.25261,16.02846,0.117367,data/sdss\SDSS_galaxy195.jpg
130.560833333604,32.6343894447965,19.93538,18.59723,17.72335,17.28218,17.04359,0.1747254,data/sdss\SDSS_galaxy196.jpg
182.869377591813,62.7765604951006,18.31537,16.93943,16.3394,16.04379,15.82956,0.05112875,data/sdss\SDSS_galaxy197.jpg
128.925590875873,44.2850445782478,19.34596,18.22844,17.65494,17.30345,17.10668,0.121373,data/sdss\SDSS_galaxy198.jpg
214.904097860987,38.2342578426661,16.485,15.31161,14.8769,14.63265,14.6622,0.02087707,data/sdss\SDSS_galaxy199.jpg
132.211779030146,22.8893865561812,18.7646,17.54372,16.9494,16.57759,16.34529,0.07995203,data/sdss\SDSS_galaxy200.jpg
207.774892996017,12.2950457487557,19.46905,17.86711,16.96575,16.54365,16.25815,0.1139768,data/sdss\SDSS_galaxy201.jpg
256.679416455207,33.6523673214211,18.96469,17.73618,17.31888,17.11492,16.98932,0.03001818,data/sdss\SDSS_galaxy202.jpg
192.505198026632,46.7918632134683,18.57507,17.51791,17.06405,16.77979,16.60443,0.06127412,data/sdss\SDSS_galaxy203.jpg
